Filename,Label_2015,XMin_2015,YMin_2015,XMax_2015,YMax_2015,Area_2015,Label_2016,XMin_2016,YMin_2016,XMax_2016,YMax_2016,Area_2016,Percentage_Decrease
tile_2500_5500.png(15),Lake,0.95588255,0.73339957,0.9961816,0.7658368,0.0013071888,0,0.0,0.0,0.0,0.0,0.0,100.0
tile_2500_5500.png(16),Lake,0.5781056,0.7375551,0.6407734,0.77682376,0.002460881,0,0.0,0.0,0.0,0.0,0.0,100.0
tile_2500_5500.png(17),Lake,0.6523825,0.7394696,0.749436,0.7658288,0.0025582535,0,0.0,0.0,0.0,0.0,0.0,100.0
tile_2500_5500.png(18),Lake,0.66550887,0.8473014,0.71994984,0.8814765,0.0018605257,0,0.0,0.0,0.0,0.0,0.0,100.0
tile_2500_5500.png(19),Lake,0.5339545,0.69331235,0.5974314,0.7338261,0.0025716883,0,0.0,0.0,0.0,0.0,0.0,100.0
tile_2500_5500.png(20),Lake,0.9481972,0.7243018,0.99654925,0.75963545,0.0017084541,0,0.0,0.0,0.0,0.0,0.0,100.0
tile_2500_6000.png(7),Lake,0.4954505,0.17601363,0.58032906,0.22305529,0.003992828,Lake,0.0049356045,0.14235143,0.03196102,0.17714514,0.0009403144,76.44991469705181
tile_2500_6000.png(24),Lake,0.7805247,0.15800862,0.8606863,0.1901208,0.002574165,Lake,0.66776556,0.20968965,0.69906443,0.23005031,0.00063726585,75.24378390662602
tile_2500_6500.png(22),Lake,0.7033617,0.36319667,0.88910496,0.50322884,0.026010035,Lake,0.5678858,0.12973182,0.6277445,0.17968571,0.002990174,88.50376787266914
tile_2500_6500.png(24),Lake,0.006199479,0.0,0.52365637,0.5203143,0.2692402,Lake,0.37256965,0.70883924,0.439783,0.734724,0.0017398008,99.35381090936643
tile_2500_7000.png(11),Lake,0.26548085,0.4016525,0.34027687,0.48015466,0.0058716508,Lake,0.8464118,0.7820643,0.898578,0.80949146,0.0014307685,75.63260233391264
tile_2500_7000.png(21),Lake,0.10506606,0.26611647,0.1609366,0.3188913,0.002948557,Lake,0.5324631,0.8240138,0.5702266,0.8443786,0.0007690454,73.91790628432823
tile_2500_7000.png(24),Lake,0.29417872,0.4245164,0.33645722,0.4741624,0.002098958,Lake,0.53765386,0.4198947,0.5681813,0.4362856,0.00050037145,76.16095939032606
tile_2500_7000.png(26),Lake,0.10875483,0.25370878,0.16193521,0.29285952,0.0020820515,Lake,0.008712032,0.2608003,0.0260825,0.2866545,0.0004490996,78.42994757814589
tile_3000_2500.png(1),Lake,0.4296395,0.0068167048,0.49530825,0.020839667,0.0009208706,0,0.0,0.0,0.0,0.0,0.0,100.0
tile_3000_3000.png(2),Lake,0.7999598,0.73770726,1.0,0.9749055,0.047449186,Lake,0.870101,0.9161815,0.9963749,0.99904317,0.010463268,77.94847734584953
