Filename,Label_2015,XMin_2015,YMin_2015,XMax_2015,YMax_2015,Area_2015,Label_2016,XMin_2016,YMin_2016,XMax_2016,YMax_2016,Area_2016,Percentage_Decrease
tile_2500_3500.png(8),Lake,0.25557742,0.85737175,0.28269002,0.8839373,0.00072026125,Lake,0.15102974,0.78321177,0.1774247,0.8040639,0.0005503917,23.584435508643562
tile_2500_4500.png(5),Lake,0.21594381,0.4883699,0.26821914,0.528202,0.0020822354,Lake,0.94969255,0.013129169,0.99129504,0.040062886,0.0011205097,46.18717461051714
tile_2500_5500.png(10),Lake,0.96440935,0.73720366,0.9962802,0.7569846,0.000630435,Lake,0.7228702,0.28988793,0.7465873,0.30326936,0.0003173686,49.658791152140985
tile_2500_6000.png(2),Lake,0.14690949,0.11342378,0.23532212,0.1787544,0.0057760524,Lake,0.51230764,0.31641483,0.5906006,0.35361582,0.0029125756,49.57497961756719
tile_2500_6000.png(3),Lake,0.6009547,0.15711336,0.73980665,0.2241483,0.009307932,Lake,0.15269396,0.24665232,0.24733916,0.32038137,0.006978101,25.030597559157076
tile_2500_6000.png(8),Lake,0.15017104,0.7856939,0.21490574,0.81475306,0.0018811367,Lake,0.753883,0.8629198,0.79853946,0.8902672,0.0012212374,35.07981636847551
tile_2500_6000.png(11),Lake,0.7803352,0.5414634,0.8254871,0.5721555,0.0013858064,Lake,0.49369612,0.23077379,0.53726643,0.25184914,0.00091825967,33.73824294648949
tile_2500_6000.png(13),Lake,0.05055302,0.722122,0.11565316,0.7515754,0.0019174201,Lake,0.8116355,0.8729108,0.8765237,0.8959886,0.0014974755,21.901543641896733
tile_2500_6000.png(14),Lake,0.5140607,0.03204114,0.55513924,0.060322363,0.0011617522,Lake,0.13903391,0.7836527,0.17054768,0.8092744,0.0008074347,30.4985434931821
tile_2500_6000.png(17),Lake,0.46636143,0.08770937,0.5343674,0.12160646,0.002305204,Lake,0.51818967,0.17378311,0.5568702,0.20723145,0.0012938002,43.87480674161593
tile_2500_6000.png(21),Lake,0.40028572,0.035439223,0.4404605,0.07457847,0.0015724108,Lake,0.7021743,0.5100186,0.7361719,0.52957046,0.00066471664,57.72627356667863
tile_2500_6000.png(22),Lake,0.22198768,0.47585455,0.27907076,0.5201306,0.0025274123,Lake,0.137716,0.77767605,0.17062871,0.80267125,0.00082266016,67.45049630406562
tile_2500_6000.png(25),Lake,0.1481884,0.77758807,0.21683227,0.8074504,0.0020498668,Lake,0.8015842,0.6831513,0.84325325,0.70574063,0.0009412762,54.08110419662388
tile_2500_6000.png(26),Lake,0.83388233,0.017837666,0.88461876,0.049683053,0.0016157212,Lake,0.52528733,0.17725016,0.5687691,0.20345068,0.0011392449,29.490007310667206
tile_2500_6500.png(8),Lake,0.0014182568,0.17708872,0.06105867,0.27351817,0.0057510925,Lake,0.37305745,0.71609825,0.44111976,0.7457763,0.0020199562,64.87700032645971
tile_2500_6500.png(9),Lake,0.7435147,0.39380985,0.862729,0.49350867,0.011885524,Lake,0.29345798,0.08883409,0.42745787,0.1407351,0.0069547296,41.485713208773966
tile_2500_6500.png(11),Lake,0.2765865,0.5002274,0.35354602,0.5282299,0.002155059,Lake,0.23394775,0.73204184,0.27781668,0.764142,0.0014081988,34.65613702455477
tile_2500_6500.png(13),Lake,0.4583148,0.26476866,0.5990319,0.32377338,0.0083029745,Lake,0.5600738,0.11536157,0.62359345,0.18523018,0.00443803,46.548914488416166
tile_2500_6500.png(14),Lake,0.6114782,0.13282971,0.6652211,0.17211221,0.0021111548,Lake,0.21286777,0.9083293,0.25662258,0.93995047,0.0013835779,34.4634557352213
tile_2500_6500.png(16),Lake,0.27561638,0.0036312477,0.39521724,0.022015534,0.0021987767,Lake,0.6809321,0.8817871,0.72566324,0.9088427,0.0012102261,44.95911749474151
tile_2500_6500.png(27),Lake,0.0125779705,0.38177267,0.051224597,0.41446242,0.0012633486,Lake,0.7691912,0.94342005,0.7953839,0.9618246,0.00048206403,61.84235847492925
tile_2500_6500.png(28),Lake,0.14933053,0.07106677,0.1821765,0.09755251,0.00086995,Lake,0.8823768,0.3542467,0.91210186,0.377454,0.00068983895,20.70360940283924
tile_2500_7000.png(7),Lake,0.26304454,0.2511374,0.35813797,0.30531818,0.0051522353,Lake,0.0052504423,0.8712153,0.055669647,0.9194998,0.0024344677,52.749291166884404
tile_2500_7000.png(9),Lake,0.26222348,0.4312768,0.33827135,0.47762558,0.003524726,Lake,0.308585,0.413915,0.3543706,0.44396168,0.0013757051,60.96987113324553
tile_2500_7000.png(10),Lake,0.30251625,0.25436103,0.35494244,0.294278,0.0020926942,Lake,0.85518914,0.7865548,0.8919081,0.81315386,0.0009766895,53.32860864239027
tile_2500_7000.png(12),Lake,0.53955513,0.28768358,0.58853567,0.31761804,0.0014662062,Lake,0.13004465,0.4175171,0.16343136,0.43872425,0.00070803706,51.7095849137727
tile_2500_7000.png(13),Lake,0.4205602,0.25663048,0.45363116,0.28219247,0.0008453593,Lake,0.54467416,0.8281072,0.5705977,0.84697354,0.00048908306,42.144948307778705
tile_2500_7000.png(19),Lake,0.12876329,0.27112114,0.16063663,0.31349972,0.001350747,Lake,0.5419433,0.8305875,0.5675061,0.85429585,0.0006060508,55.13217501130856
tile_2500_7000.png(20),Lake,0.0202145,0.30729708,0.058571644,0.33435997,0.0010380553,Lake,0.091854334,0.91749793,0.120237134,0.93579096,0.0005192072,49.982703233633124
tile_2500_7000.png(23),Lake,0.14959262,0.49369732,0.1871003,0.51582164,0.000829832,Lake,0.5427609,0.42151147,0.5615289,0.43581104,0.00026837454,67.65917197697846
tile_2500_7000.png(25),Lake,0.30686948,0.41681764,0.3388506,0.46601206,0.0015732923,Lake,0.5541595,0.23490535,0.5855927,0.2544143,0.00061322784,61.022637687860026
tile_2500_7000.png(28),Lake,0.26432186,0.44185492,0.30751252,0.47729325,0.0015306048,Lake,0.09233723,0.92490494,0.12430246,0.94401467,0.00061084685,60.09114501666269
tile_3000_3500.png(2),Lake,0.89476836,0.23272912,0.93727225,0.26647422,0.0014342979,Lake,0.6355708,0.53964084,0.6735638,0.55919266,0.00074283115,48.209423579299674
tile_3000_3500.png(4),Lake,0.28972048,0.11408696,0.33908784,0.19224162,0.00385829,Lake,0.5087642,0.58211386,0.5663333,0.60637295,0.0013965737,63.803298870743255
tile_3000_3500.png(5),Lake,0.0015125097,0.49310604,0.15228334,0.7348532,0.036448423,Lake,0.0018399656,0.7117797,0.15897731,0.8854227,0.0272858,25.13859927492611
tile_3000_3500.png(18),Lake,0.5004752,0.4520781,0.5385089,0.4743363,0.00084656064,Lake,0.6055892,0.6590289,0.6274886,0.6746838,0.00034283343,59.50279119993106
tile_3000_3500.png(22),Lake,0.6435285,0.75265056,0.67609936,0.7732076,0.0006695602,Lake,0.67558044,0.14365567,0.6988921,0.15749882,0.000322707,51.80313883650791
tile_3000_4000.png(4),Lake,0.46040502,0.46871963,0.524709,0.49591452,0.001748739,Lake,0.28936598,0.5505804,0.3646191,0.568306,0.0013339104,23.72158452462032
tile_3000_4000.png(5),Lake,0.5716783,0.47657463,0.6401858,0.49755773,0.0014374995,Lake,0.5641261,0.35696635,0.60039115,0.3778405,0.00075700233,47.338950030939145
tile_3000_4000.png(6),Lake,0.4080246,0.39318988,0.458276,0.43021607,0.001860618,Lake,0.5663826,0.3658286,0.59903693,0.38533399,0.00063693547,65.76753154059564
tile_3000_4000.png(7),Lake,0.24878417,0.6050916,0.27895364,0.631334,0.0007917204,Lake,0.56798303,0.37133786,0.5910566,0.38756546,0.00037442846,52.70698342495659
